两代人	liǎng dài rén	two generations
代沟	dàigōu	generation gap
批评	piping	criticize
責备	zé bèi	blame
表扬	biǎoyáng	praise
鼓励	gǔlì	encourage
安慰	ānwèi	comfort
理解	lǐjiě	understand
信任	xìnrèn	trust
关心	guānxīn	care about
尊重	zūnzhòng	respect
支持	zhīchí	support
反对	fǎnduì	oppose
同意	tóngyì	agree
不同意	bù tóngyì	disagree
成功	chénggōng	succeed
失败	shībài	fail
要求	yāoqiú	require
要求高	yāoqiú gāo	high requirements
要求严	yāoqiú yán	strict requirements
严格	yángé	strict
管得严	guǎn dé yán	acting strict
管得松	guǎn dé song	acting relaxed
压力大	yālì dà	large pressure
压力小	yālì xiǎo	small pressure
没有压力	méiyǒu yālì	no pressure
学习成绩	xuéxí chéngjī	grades
成绩单	chéngjī dān	report card
自由	zìyóu	freedom
独立	dúlì	independent
自己做决定	zìjǐ zuò juédìng	make own decisions
父母做决定	fùmǔ zuò juédìng	parents make decision
西方教育方式	xīfāng jiàoyù fāngshì	western education
东方教育方式	dōngfāng jiàoyù fāngshì		eastern education
虎妈狼爸	hǔ mā láng bà	tiger mother wolf dad
羊爸羊妈	yáng bà yáng mā	relaxed parents
